Question 0,Preguntas,A,B,C,D,Respuesta Correcta
Question 1,¿Cuántos litros de sangre tiene una persona adulta?,Tiene entre 2 y 4 litros,Tiene entre 4 y 6 litros,Tiene 10 litros,Tiene 7 litros,Tiene entre 4 y 6 litros
Question 2,¿Quién es el autor de la frase "Pienso luego existo"?,Platón,Galileo Galilei,Descartes,Sócrates,Descartes
Question 3,¿En qué año se dio la independencia Colombiana?,1810,1860,1700,1920,1810
Question 4,¿Con qué país no limita Colombia?,Surinan,Brasil,Ecuador,Perú,Perú
Question 5,¿Quién ganó la guerra de los Mil Días?,Centro democrático,Cambio radical,Partido conservador,Partido liberal,Partido conservador
Question 6,¿Cuál es el grupo de palabras escritas correctamente?,Metamorfosis - extranjero - diversidac - equilivrio,Metaformosis - estranjero - diversidad - ekilibrio,Metamorfosis - extrangero - dibersidad - equilibrio,Metamorfosis - extranjero - diversidad - equilibrio,Metamorfosis - extranjero - diversidad - equilibrio
Question 7,¿Cuántos jugadores por equipo participan en un partido de voleibol?,3  jugadores,4 jugadores,5 jugadores,6 jugadores,6 jugadores
Question 8,¿Cuánto tiempo tarda la luz del Sol en llegar a la Tierra?,12 minutos,1 día,12 horas,8 minutos,8 minutos
Question 9,¿A quién se le atribuye la frase "Solo sé que no sé nada"?,Aristóteles,Nietszche,Sócrates,Sófocles,Sócrates
Question 10,¿Cuáles de las siguientes son enfermedades de transmisión sexual ETS?,SIDA - tricomoniasis - ébola,Chikunguya - malaria - herpes genital,Gonorrea - clamidia - sífilis,Botulismo - cistitis - chagas,Gonorrea - clamidia - sífilis
